제목,지역,소분류,성별,내용
[월드비전 성남복지관] 함께 놀자 정기 활동,경기,성남시,공통,"월드비전 성남복지관에서는 청소년이 주체가 되어 아동의 놀이 문화(놀 권리)를 증진시키는 활동을 하고자 합니다.자세한 사업소개는 아래 홈페이지 링크 눌르면 붙임파일에 첨부하였습니다. 많은 참여 부탁드립니다.http://www.wvsungnam.or.kr/xe/menu41/37346#01. 모집기간: 2019년 4월 24일(수) 까지2. 대상자: 중원구, 수정구에 사는 중학생 (1-3학년)3. 활동내용: 아동의 권리 중 놀권리를 키우기 위해 함께 놀고, SNS 홍보 활동 실시 (자세한 내용 붙임 참고)4. 신청방법: 위 링크된 홈페이지 붙임 문서 신청서 작성 후 내방, 이메일로 발송5. 문의: 신형철 사회복지사(031-698-4210) 이메일: hyungchul_shin@worldvision.or.kr      * 함께놀자의 모든 활동은 봉사활동 시간으로 인정됩니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019 하상장애인복지관 지역설문조사  봉사자 모집,서울,강남구,공통,"1. 제목: 2019 하상장애인복지관 지역설문조사 봉사자 1차 모집2. 프로그램 내용: 복지관 인근 위치한 주민들의 욕구와 실태를 파악하여 지역사회의 이해를 도모하고 복지관 프로그램에 선택과 집중이 가능한 기초자료를 위해 실시함.3. 프로그램 대상: 지역 인근 거주자4. 프로그램 일시: 2019년 4월 22일 ~ 2019년 5월 31일5. 봉사시간: 주 1회 정기모임 진행 / 시간은 오전, 오후 유동적으로 선택 가능6. 장소: 복지관 인근 아파트 출입구에 부스를 운영하여 조사 진행7. 봉사활동: 지역사회 욕구조사 실시, 지역조사 연구보고서 제작8. 모집인원: 총 4~5명 / 남녀 무관 대학생 / 성실하게 활동해주실 분9. 기타: 사회복지학과 또는 통계학과 학생 우대 (사회복지조사론, 자료분석론 수강자 우대)10. 담당: 지역권익옹호팀 김태윤 사회복지사 (02-560-4252)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
발달장애인 주말 달리기 1:1 매칭 지원 봉사자 모집(~4/26),서울,송파구,공통,"Ⅰ. 개요1. 사업기간: 2019년 5월 ~ 10월2. 매칭대상: 서울특별시 거주 17세~29세 발달(지적·자폐)장애인 15명3. 장 소: 올림픽공원, 송파YMCA, 뚝섬유원지(예정) 등4. 사업내용: 오리엔테이션, 주말 달리기 훈련, 마라톤 대회(5km) 참가, 활동 마무리 등5. 필수조건: 마라톤 대회(5km) 기록 30분 이내인 자※자원봉사자 및 매칭 발달장애인의 역량(10km, 하프 등)에 따라 변동될 수 있음6. 제공사항: VMS 자원봉사 시간 인증, 훈련복 지급, 간식, 중식 등 Ⅱ. 신청 안내1. 신청기간: 2019년 4월 1일(월) ~ 4월 26일(금)2. 신청방법: 이메일(rikorea-seoul@naver.com) 또는 팩스(02-2637-4167) 신청3. 신청서류: 신청서 1부, 5km 마라톤 기록증 1부. ※ 신청서 양식은 서울특별시장애인재활협회 홈페이지(http://www.ssrpd.or.kr) 참조 또는 유선 연락(02-2637-4162) 후 메일 전달 가능<활동 일정> 세부일정은 날씨, 참가자 현황 등의 문제로 변경 될 수 있습니다.★오리엔테이션: 5/18(토)★달달한 훈련 1차) 5/25(토)                   2차) 6/1(토)                   3차) 7/20(토)                   4차) 8/10(토)                   5차) 9/7(토)★마라톤 대회 참가: 6/15(토), 9/22(토)  ※마라톤 대회 일정에 따라 활동일정이 변동 될 수 있음.★달달한 마침표: 10/19(토) ※ 문의: 달리는 달팽이 담당 정혜정, 02-2637-4162. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[정기봉사]서대문구 지원사업 '마을에서 당당한 발달장애인을 위한 프로젝트',서울,서대문구,공통,"1. 봉사일자 : 2019-05-01~2019-11-292. 봉사장소 : 서대문장애인종합복지관3. 봉사내용 : [정기봉사]서대문구 지원사업 '마을에서 당당한 발달장애인을 위한 프로젝트' Q. '마당발 북아현동'은 어떤 사업이고, '마당발 기획단'이 뭔가요?A. '마당발 북아현동'은 3가지의 목적을 가지고 있습니다. 첫째, 발달장애인이 직접 지역주민을 인터뷰함으로써 수혜 대상자가 아닌 지역주민으로써의 주체성을 향상할 수 있도록 할 거예요. 둘째, 우리의 활동으로 장애인과 비장애인의 자연스러운 만남을 유도해 장애인식개선의 효과를 가져올 거예요. 셋째, 북아현동 주민 인터뷰 책자를 제작하고 발간해서 유관기관, 상점 등에 배포, 비치할 예정이에요. 이로써 북아현동을 홍보하고 나아가 지역경제 활성화를 도모할 수 있습니다. '마당발 기획단'은 이 사업의 주축이 되는 아주아주 멋진 역할을 담당하게 될 거예요. 비장애인과 발달장애인이 함께 기획단이 되어 지역주민을 인터뷰하고 책자를 발간하는 활동을 하게 됩니다.Q. 선정 기준이 있나요?A. 우선 하고 싶은 의지가 가득인 사람! 신청서에 잘 녹여주세요^.^ 그리고 활동 시 빠지지 않고 전체 참석이 가능한 분이어야 해요. 모이는 횟수가 그렇게 많지 않기 때문에 큰 부담이 없을 거예요.Q. 기획단이 되어 인터뷰 할 대상자는 누구에요?A. 북아현동에 있는 10명의 주민들을 만나 인터뷰 할 거예요! 맛있는 식당, 작은 슈퍼, 사회적기업 등 기획 회의를 통해 인터뷰 하고 싶은 대상을 함께 정해봐요!Q. 수 많은 활동이 있는데 이 활동만의 강점이 있나요?A. 장애인과 장애인이 함께 팀을 꾸린다는 것, 동등한 눈높이에서 의견을 주고받으며 활동할 수 있다는 게 첫번째 강점인 것 같아요. 그리고 내가 살고 있고, 자주 오가는 서대문구에 대해 더 많이 알아갈 수 있다는 것, 지역주민으로써의 역할을 할 수 있다는 것, 발달장애인도 도움을 받기만 하는 것이 아니란 것을 옆에서 보고 느낄 수 있다는 것! 활동을 통해 많은 인식의 변화가 생기게 될 거예요.Q. 실제적으로 받게 되는 혜택은요?A. 발대식에서 마당발 기획단 임명장을 드릴 거예요. 또 단원증을 만들어 목에 걸고 진짜 기자처럼! 멋진 모습으로 주민들을 만나러 갈 거예요. 비장애인 기획단 분들에겐 활동에 대한 봉사시간을 입력해 드립니다. 또 아주아주 중요한 것, 모임 때마다 맛있는 간식이 쏟아질 거예요! 인터뷰 진행 때에도 식탁교제 해요:)그리고 우리가 만든 책자에 우리의 소개가 들어갈 거예요. 마지막 해단식에선 가장 열심히 활동한 사람(비장애인 1명, 발달장애인 1명)에게 포상을!Q. 더 궁금한 게 있으면 어디로 연락해야 하죠?A. 서대문장애인종합복지관 경영전략팀 정지인 사회복지사(02-3140-3016)에게 언제든 연락주세요!아래의 링크로 들어가시면 신청서를 보실수 있습니다.http://www.welfare-center.or.kr/bbs/board.php?bo_table=0301&wr_id=1732※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
좋은Day캠페인 '봄을 나눠 드립니다.',경기,광명시,공통,"4월 좋은Day캠페인 '봄을 나눠 드립니다.'일시:2019년 4월 20일(토) 12시30분~16시30분활동내용: 1. 자원봉사자 교육 및 캠페인 활동 안내 2. 응원캠페인 진행 (사전에 제작한 벚꽃책갈피를 주말에 열심히 일하는 지역의 사업자 및 근로자들에게 전달하며 응원하는 캠페인 진행)모집인원:20명모집대상:성인 및 청소년(되도록 자의로 신청해주시면 감사하겠습니다)모임장소:시립광명종합사회복지관 (경기도 광명시 오리로1018)활동장소:광명사거리일대담당자:김창빈 사회복지사 문의:02-2067-4020시립광명종합사회복지관에서는 2016년부터 지역의 청소년 및 청년들이 모여 지역주민들이 서로가 서로를 배려하고 응원하는 문화를 전하는 좋은Day캠페인을 진행하고 있습니다. 이에 지역에 대한 관심과 애착으로 이타적인 문화확산을 위해 좋은Day캠페인에 참여할 분들을 찾습니다.※격월로 캠페인 활동을 계획하고 있으며, 2019년에는 4,6,8,10,12월에 캠페인을 진행하고자합니다※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
대학생 멘토활동,대구,수성구,여,"[대학생 멘토 모집 모집]활동내용1. 멘토교육 및 멘토모임2. 자유활동 :멘토-멘티 그룹별 자유활동을 계획하여 활동3. 문화체험활동 :영화,연극,뮤지컬 등 문화활동 실시이 외 다양한 활동을 진행할 예정입니다^^활동시간매월 셋째주 토요일 오전 10시~13시*시간과 일정은 조율이 가능합니다문의사항: 김주영 사회복지사, 070-5057-5399※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
<강남구건강가정지원센터>아이돌봄 봉사자 구인,서울,강남구,공통,"[강남구건강가정지원센터 아이돌봄팀] 아동돌봄 봉사자 구인 - 봉사일시: 4월 18일(목) 9:00-13:00(4시간) 또는 4월 23일(화) 13시~17시(4시간)- 봉사내용: 아이돌봄(아이돌봄활동가가 교육 참여 동안 아동 돌봄) 및 교육 준비,마무리 정리- 장     소: 대치평생학습관 (서울특별시 강남구 영동대로57길 7 대치평생학습관)- 모집대상:  남녀불문(인원제한x)- 필수사항: 자원봉사 신청 후 꼭 담당자 번호로 신청확인 연락주셔야 바로 확인가능합니다!- 담     당: 문희원(070-7458-2237)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
KGC인삼공사 홍이장군봉사단: 리본카네이션 및 브로치 만들기 & 기부활동,서울,동작구,공통,"KGC인삼공사 홍이장군봉사단: 리본카네이션 및 브로치 만들기 & 기부활동  ○ KGC인삼공사 홍이장군봉사단1. 기간 : 2019년 05월 11일(토) 09:00 ~ 13:002. 대상 : 봉사활동을 희망하는 초, 중, 고등학생 대상으로 구성3. 인원 : 초,중,고등학생 40명(선착순모집, 현장접수 x)* 40명 신청시 조기마감될 수 있습니다. 당일 현장접수 받지 않습니다.4. 내용 : KGC인삼공사 홍이장군 봉사활동<리본카네이션 및 브로치 만들기 & 기부활동>5. 장소 : 삼성떡프린스 (서울특별시 동작구 양녕로30길 19-4)6. 오시는길 : - 상도역 2번 출구 앞에서 마을버스 8번 승차 후 약수맨션 하차- 노량진역에서 500번 버스 승차 후 신상도 초등학교 앞 하차※ 서울삼성원 삼성떡프린스 내 주차 가능 ※ 아이패스(홍이장군) 봉사활동 때 촬영된 사진은 추후 KGC 홍보 콘텐츠로 사용될 수 있습니다. ☎ 문의전화 : 삼성떡프린스 02-823-2230 / 02-823-2251 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
시각장애인 보행 안내(남산둘레길 걷기),서울,중구,공통,'사단법인 다메섹복지회'에서는 시각장애인들과 함께 남산둘레길 걷기 행사를 갖고자합니다. 일시 : 2019년 4월 20일 토요일 10:30 ~ 15:30 (총 5시간)장소 : 명동역 3번출구(지상)활동 : 시각장애인 남산둘레길 보행 안내안내 경로 : 명동역 3번출구에서 모임  -> 남산 산책로 B코스 걷기 -> 점심식사 -> 남산 팔각정 도착 -> 남산 산책로 B코스 걷기 -> 명동역 3번출구에서 해산* 봉사자분들에게도 점심식사가 제공됩니다.   걷기 행사인 만큼 편한복장(운동화)으로 오시면 됩니다. * VMS에서 봉사신청 후  다메섹복지회로 전화주시면 봉사활동에 더 자세히 안내해 드립니다.   ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
★사무지원 자봉 모집,서울,종로구,공통,"종로구건강.다문화센터에서 사무지원 자원봉사자를 모집합니다.1. 봉사일자 : 2019-04-23(화), 13:30~17:302. 봉사장소 : 본 센터 2층 사무실(동묘앞역)3. 봉사내용 : ★사무지원 자봉 모집*다른 요일도 가능하니, 전화문의 주세요~※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
