제목,지역,소분류,성별,내용
[구로종합사회복지관] 독거어르신 방문생신잔치 자원봉사자 모집,서울,구로구,공통,"구로종합사회복지관에서는 지역 내 독거어르신들을 정서적으로 지원하기 위하여 방문생신잔치 사업을 진행하고 있습니다.독거어르신 방문생신잔치 사업은 2018년 1월부터 시작하여 현재까지 진행해 오고 있으며, 매월 구로구에 거주하는 독거어르신들 중생신을 맞으신 어르신들의 가정으로 방문하여 생신잔치를 열어드리는 방식으로 진행되고 있습니다.월간 활동 일시, 횟수 등은 매월 초에 자원봉사자 분들과 의논하여 정하고 있으며, 원하시는 시간과 날짜에 참여할 수 있도록 안내하고 있습니다.독거어르신의 말벗, 상담 등의 봉사활동에 관심 있으신 분들의 참여를 바랍니다.프로그램명: 가가호호 생신잔치진행기간: 1월 부터 12월까지(연중지속)진행장소: 대상자 어르신 가정진행대상: 구로구에 거주하는 65세 이상 독거어르신진행내용: 생신을 맞으신 어르신을 방문하여 생신축하 및 말벗, 상담 등의 정서적 지원활동 진행모집기간: 연중 지속모집인원: 6명(활동은 2인 1조로 진행하며 초기에는 복지관 직원이 동행합니다)문의전화: 02-852-0525(김상엽 사회복지사) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애인가정 집청소,강원,원주시,공통,"안녕하세요. 원주시 지체장애인협회입니다.몸이 불편하신 회원분께서 이사를 오는 4월25일 준비 중이신데, 빈집에 미리 가서 청소를 도와주실 분을 찾습니다.장애인분은 하체가 불편하셔서 거동이 많이 어려우십니다.봉사해주실 것은 청소 뿐으로 무거운 짐 옮기는 것은 없습니다.ㅇ 봉사 내용: 이사할 집 청소ㅇ 봉사 시간: 2019.04.24. 9:00~16:00ㅇ 봉사 인원: 2-4명ㅇ 봉사 장소: 무실8차 아파트ㅇ 봉사 조건: 무관궁금하신 내용은 033-732-2263 (정필근)으로 연락주세요.  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 봄나들이 활동보조 봉사자 모집합니다,서울,서초구,공통,"까리따스방배종합사회복지관에서 사례관리 및 보호서비스 어르신(취약계층) 봄 나들이 활동 보조 봉사자를 모집합니다.1. 일시 : 2019년 4월 25일 목요일 8시 30분 ~ 18시2. 장소 1) 집결 → 까리따스방배종합사회복지               (서울 서초구 남부순환로 2124)  2) 나들이 장소   - 민머루 해변 : 인천광역시 강화군 삼산면 매음리   - 물레방아 식당(점심식사) : 인천광역시 강화군 삼산면 삼산남로828번길 26   - 아르미애월드 : 인천광역시 강화군 불은면 중앙로 742-23. 모집인원 : 10명4. 모집대상 : 대학생, 휴학생, 직장인5. 활동내용 : 나들이 진행 시 어르신 관람, 체험활동 등 보조, 어르신들의 말벗 역할 수행, 거동이 불편한 어르신, 장애인 등에게 휠체어 동행 어르신 봄나들이를 위해 많은 지원 부탁드립니다~^^!!문의사항은 02-522-6004 김영은 사회복지사 로 문의 주시기 바랍니다. 감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"장애인가정 청소년 멘토링 멘토모집(남성, 활동비 지급)",충북,청주시,남,"◈봉 사 명 : 장애인가정청소년학습지원사업(1:1멘토링)◈봉사대상: 장애 및 비장애 초등학생 ~ 고등학생◈봉사장소: 멘티 가정◈봉사일시: 2019. 4 ~ 2019. 11월까지 진행(협의를 통해 연장 가능) / 주 1회(연 32회), 1회기당 2시간 / 일시는 멘티와 협의 / 총 32회기(32회 * 2시간 = 64시간)◈봉사내용: 1:1 수준별 맞춤 학습지원, 1:1 문화활동(1~3회), 단체문화활동(연 1~2회), 멘토 교육 및 간담회(1~2회)◈봉사혜택: vms봉사시간 입력, 멘토활동비 지급, 우수멘토 표창◈세부내용 안녕하세요. 충북장애인재활협회입니다. 2007년부터 현재까지 13년동안 장애인가정학습지원(멘토링)을 진행한 멘토링 전문기관입니다. 장애인가정의 대부분은 저소득가정이며 정부 보조금으로 생계를 이어나가고 있어 자녀에게 충분한 지원이 어려운 실정입니다. 장애인가정청소년학습지원사업(멘토링)은 학습지원, 일상생활지원, 정서적지원, 문화활동 등을 지원하고 있으며 육체적.정신적으로 건강한 청소년으로 자랄 수 있도록 이끌어 주실 마음 따뜻한 멘토를 모집합니다.◈주의사항 약 1년 동안 멘티와 1:1로 진행되는 장기적인 봉사활동입니다. 그렇기 때문에 책임감을 많이 요구하게 되는 봉사활동이에요. 하지만 필요한 봉사시간만 채우고 그만두시는 멘토분들이 많고 그로 인해 아이들(멘티)들이 마음의 상처를 많이 받고 있어요. 선생님(멘토)한테 버려진다는 마음의 상처가 제일 크며 이러한 일이 반복될 수록 아이들(멘티)은 마음의 문을 점점 닫고 더 이상의 멘토링 활동이 어려워집니다. 그렇기 때문에 1년(32회) 장기적으로 진행해주실 수 있는 멘토 선생님들이 간절히 필요한 상황입니다. 많은 관심 부탁드립니다.궁금하신 사항이 있으시면 언제든지 전화, 문자, 카카오톡 등 연락주세요~ 언제나 환영입니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[본리종합사회복지관]가사서비스 이불세탁 배달 봉사자 모집 ,대구,달서구,공통,"본리종합사회복지관에서는 평소 이불세탁에 어려움을 겪는 이웃들에게 이불세탁 지원하고 있습니다.이에 이불세탁 배달봉사자를 모집합니다.- 일시 : 5월 중 실시(공휴일 및 토,일요일 제외)- 내용 : 이불세탁 수거 및 배달- 참고사항 : 자차로 배달하여야 하며, 유류대 지원이 불가하오니 참고바랍니다.- 담당자 : 사례관리팀 백성윤 사회복지사신청 후 복지관으로 연락주시면 자세하게 안내해드리겠습니다.053-563-1007 본리종합사회복지관※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
들꽃 가족봉사단,전남,곡성군,공통,1. 봉사일자 : 2019-04-01~2019-12-312. 봉사장소 : 매월 독거노인 개별방문 진행3. 봉사내용 : 들꽃 가족봉사단4. 참여대상 : 가족단위 참여 (봉사참여 시 활동 가능에 대한 연령 제한을 두고자 함)5. 연 락 처 : 곡성군건강가정다문화가족지원센터/ 담당자 최상은/ 061-362-5411※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
모아모아 마음모아 활동,대전,동구,남,장애가정의 건강한 삶을 위해 함께 해주실 분을 모집합니다.일시 : 2019. 4. 19(금) 15:00~18:00장소 : 재가장애인가정(복지관에서 모여서 출발하기에 복지관으로 오시면됩니다)모집인원 : 6명※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[정립주간보호시설] 5월 10일 나들이 자원봉사자 모집 ,서울,광진구,공통,"안녕하세요~ 정립회관 주간보호시설에서 몸과 마음이 건강한 자원봉사자를 모집합니다.대부분의 이용자들이 기본적인 신변처리가 가능하며 이동지원이 주활동입니다.- 모집인원 : 6명- 일시 : 2019년 5월 10일 (금요일) 9시 00분 ~ 17시 00분- 장소 : 정립회관 -> 양평 쉬자파크 -> 정립회관- 집합장소: 서울 광진구 워커힐로 93 (정립회관 주간보호시설)- 나들이장소 : 양평 쉬자파크 (경기 양평군 양평읍 쉬자파크길 193) - 내용 : 정립회관 주간보호시설 어르신 현장학습 나들이 동행- 특전 : 점심식사 및 간식 제공, 자원봉사실적 등록- 문의 : 02-446-1237          (봉사활동 신청 및 문의 사항이 있으시다면 02-446-1237로 전화하신 후 ,           주간보호시설 최혜경 사회복지사로 통화 연결 바랍니다.) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
발달장애인 병원진료 동행,부산,북구,여,"1. 봉사시간- 2019.04.17(목). 09:00~완료시까지2. 모집인원: 1명3. 봉사내용- 모라주공 1단지에서 이용자를 만나 덕천부민병원으로 이동 (자비콜 이용)- 덕천부민병원 1층 정형외과로 이동 후 이용자 이름과 함께 외래진료예약증 전달- 다리에 실밥을 뽑은 후 진료비를 내고 및 약을 받을 수 있도록 지원- 자비콜을 이용하여 모라주공 1단지까지 귀가 후 이용자에게 자원봉사일지 및 개인정보동의서를 받고 작성 후 전달4. 활동장소: 부산광역시 북구 만덕대로 59, 덕천부민병원5. 신청방법: VMS신청, 1365신청6. 문의방법: 전화문의 (T 051-312-5559)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"성가정노인종합복지관 독거어르신 도시락 조리 봉사	",서울,강동구,공통,"성가정노인종합복지관은 사회복지 이념을 바탕으로 지역사회 노인분들에게 다양하고 전문적이며 통합적인 복지서비스를 제공하여 희망과 기쁨이 있는 보람된 노후를 보낼 수 있도록 도와드리는 것을 목적으로 하고 있습니다.본 복지관에서 재가복지사업 독거어르신들을 위해 직접 도시락을 조리하여 각 가정에 배달을 해드리고 있습니다. 이와 관련하여 도시락을 조리해주실 봉사자를 모집합니다. 많은 관심 부탁드립니다.1. 모집내용: 성가정노인종합복지관 독거어르신 도시락 조리 봉사2. 활동내용: 독거어르신 도시락 조리3. 활동기간: 2019.04 ~( 매주 금요일 / 주 1회 / 9시~10:30분 )4. 활동혜택: 봉사활동 실적 입력, 중식제공 등5. 기관정보: 서울시 강동구 양재대로 156길 28(명일동 성당 내 위치) / www.skjsenior.org6. 문의: 자원봉사 담당 곽노현 사회복지사(☎070-5101-7523)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
