제목,지역,소분류,성별,내용
[기아대책] 행복한나눔 길음점 자원봉사 모집,서울,성북구,공통,"기아대책 (재)행복한나눔 길음점 자원봉사를 모집합니다.기아대책 행복한나눔은 개인과 기업의 기증품을 판매하여 그 수익금으로 국내외 소외된 이웃을 돕는 사회적기업입니다.1. 모집분야: 나눔가게 길음점 매장 자원봉사2. 봉사내용: 매장 물품 판매 및 정리정돈과 매니저 업무보조3. 모집인원: 00명4. 봉사시간:  10:00 - 19:00 (월요일 ~ 금요일) , 정기/ 비정기 모집.  5. 지원기간: 상시 모집.            6. 위치: 서울시 성북구 정릉로52길 23 (4호선 길음역 도보 10분)7. 지원방법:  VMS 접수 신청, 이메일 신청(nomadjo@kfhi.or.kr)                  *별도의 지원양식은 없으며 [문래점 자원봉사] 제목으로 성함과 연락처 남겨주세요.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
굿네이버스 가족그림편지쓰기대회 진행보조,경남,진주시,공통,"굿네이버스는?1991년 한국에서 설립되어 국내, 북한 및 해외에서 굶주림 없는 세상, 더불어 사는 세상을 만들기 위해전문사회복지사업과 국제개발협력사업을 활발히 수행하고 있는 국제구호개발 NGO입니다.굿네이버스 가족그림편지쓰기대회는?영유아 친구들이 지구촌 어려운 친구들을 돌아보고 이해하며, 세계시민으로 성장할 수 있도록 돕는나눔인성교육 프로그램입니다.* 활동명 : 굿네이버스 가족그림편지쓰기대회 물품세팅* 활동일시 : 2019년 4월 23일(화) ~ 25일(목), 오전 10:00~12:00 / 오후 13:00~18:00* 활동장소 : 굿네이버스 경남서부지부(경남 진주시 진주대로847 관성빌딩 3층)* 신청문의 : 이병인 대리(010-3345-5817)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
은평봄봄축제 전동휠체어축구 홍보 부스 운영 도움 봉사자 모집합니다. ,서울,은평구,공통,"-은평봄봄축제 전동휠체어축구 홍보 부스 운영 도움 봉사자를 모집합니다.1. 일자: 2019.04.20(토) 오전 10시~18시까지2. 장소: 은평평화공원3. 필요인원: 2명4. 자격요건: 전동휠체어 사용 가능자, 전동휠체어축구 경험자※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
여성시각장애인 체험활동 안내보행 자원봉사자 모집,서울,강동구,여,"시각장애인 성인 여성 체험활동에 함께 할 자원봉사자를 모집합니다.1. 일자: 4월 30일(화)2. 시간: 09:30-16:303. 장소: 세미원, 두물머리(중앙선 양수역)4. 내용- 집결장소: 5호선 상일동역 3번 출구 역내 대합실(9시 20분) or 5호선 왕십리역(방화방면 2-1번 승차장) 10시 택 1- 활동내용 1) 1:1 체험 보조(함께 동행하여 설명 읽어주거나 만질수 있는 것 함께 하는 등) 연령대가 높은 편이므로 함께 이야기 나누시면서 이동과 체험 시 옆에서 보조해주새면 됩니다. 즐겁게 함께 시간을 보내시면 됩니다.2) 활동 전, 시각장애인 안내보행 및 신청서 작성 교육 진행합니다. * 점심식사 제공됩니다.* 이용자와 1:1로 진행됩니다.(일대일 매칭된 시각장애인 분들과 이야기 나누시면서 체험활동과 이동 안내해 주시면 됩니다)* 이용자와의 성비를 맞추기 위해(화장실 문제 등) 여성 자원봉사자를 모집합니다.* 준비사항 : 편안한 옷차림, 가방, 긍정적인 마인드, vms 아이디* 자원봉사자 모집은 아래와 같이 진행됩니다.1) vms 신청2) 담당자와 통화(02-440-5282)3) 최종 선정 문자 발송- vms만 신청하셨다고 당일 무작정 참석하시면 안됩니다. 한국시각장애인복지관 www.hsb.or.kr담당자: 이충화 02-440-5282 (주중 오전 9시~오후 6시) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
『 경기남양주아동보호전문기관 - 아동학대예방 인형극』 함께 해주실 자원봉사자를 모집합니다!,경기,남양주시,공통,"『 경기남양주아동보호전문기관 - 아동학대예방 인형극 자원봉사자 모집 』 1. 활동 일시 : 2019년 4월 30일 ~2019년 11월 30일 (연 7회) 2. 활동 시간 : 오전 09:00-12:00 (3시간씩) 3. 모집 기간 : 2019년 4월 16일 ~ 2019년 4월 30일 4. 활동 장소 : 구리, 남양주 관내 초등학교 및 병설유치원 5. 모집 대상 : 성인 2명 6. 활동 내용: 아동학대예방 인형극 진행 (막대 인형극)7. 주의사항※ 기존 인형극 자원봉사자 어머님분들과 즐겁고, 성실하게 자원봉사활동 해주실 수 있는 분들의 많은 지원 부탁드립니다.※ 매회 자원봉사 당일 반드시 ☆★시간 엄수☆★ 부탁드립니다!!※ 신청승인 후, 봉사 활동 내용에 대한 자세한 안내 사항은 개별연락 드릴 예정입니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
백석LH공동육아나눔터 지킴이활동가(대학생) 모집합니다.,충남,천안시,공통,"백석LH공동육아나눔터 지킴이활동가(대학생) 모집합니다.○ 활동내용: 공동육아나눔터 이용자 및 공간 관리< 세부내용 > ○ 장     소: 백석LH공동육아나눔터(충남 천안시 서북구 한들1로 88, 백석LH천년나무1단지 )○ 기     간: 지킴이 자원봉사 임명 ~ 2019.12.31.(연장가능)○ 시     간: 화,수, 16~18시 ○ 인     원: 2명○ 모집기간: 상시모집○ 기     타: VMS 자원봉사 활동시간 지급○ 문     의: 070-7733-7915 ※ 지원서 이메일 제출(chfsc1004@daum.net)후 담당자 통화※ 지원서는 자유양식입니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[희망TV SBS] 스튜디오 녹화 방청 봉사자 모집,서울,양천구,공통,"1.희망TV SBS 소개희망TV SBS는 소외된 이웃을 위해 모금뿐 아니라 누구나 참여하고 즐기는 적극적인 기부축제를 지향하며 시청자와 NGO가 함께 만드는 대표적인 사회공헌 프로그램입니다. 2. 활동내용희망TV SBS로 해외봉사를 다녀온 연예인과 함께하는 스튜디오 녹화방송 참관 자원봉사입니다. 여러분의 많은 관심과 참여 부탁드립니다. 3. 활동장소서울시 양천구 목동서로 161 SBS 방송국 1층(지하철 5호선 오목교역 1번 or 2번 출구) 4. 활동시간2019년 5월3일(금) 17:30~20:30 (총 3시간)* 간식 지급* 진행상황에 따라 시간 변동 가능 5. 신청기간2019.4.22.까지 6. 기타장시간 앉아있어야 하니 편안한 복장으로 오십시오. 7. 문의밀알복지재단 정광옥 주임, 070-7462-9036 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[굿네이버스] 경기1본부 펀드레이징 분야 NGO봉사단 2기 모집,경기,성남시,공통,"[특전]-직접 캠페이너로서 굿네이버스 사업에 대해 이해하고 체험할 수 있는 절호의 기회!-뻔~~한 활동이 아닌 나만의 스토리를 만들 수 있는 기회!-말로만 들었던 어려운 펀드레이징을 쉽게 재밌게 알 수 있는 기회!-유쾌한 굿네이버스 직원이 전해주는 입사 노하우 및 꿀팁 제공 기회! [모집인원] 00명 [모집대상]-굿네이버스 사업 및 국제구호개발 NGO활동에 관심이 있는 분-NGO봉사단 활동기간을 성실히 완수할 수 있는 분-굿네이버스 사업 안내에 대해 적극적이고 열정적으로 임할 수 있는 분-봉사정신과 책임감이 강하며 범죄 경력이 없는 자-대학교 재학생, 복학생, 휴학생, 졸업생 등 학력, 거주지역 무관 [활동기간] 12:30-18:00(5시간)/주1~2회(월~금요일 중 선택) [NGO봉사단 활동 혜택]-봉사시간 인증(VMS) 및 NGO봉사단 수료증 지급-굿네이버스 입사 Pre인턴십 제공 (차등 지급)-NGO단체 캠페이너 활동 경험-굿네이버스 사업 및 NGO관련 교육 제공 [활동내용]-국내외 아이들의 좋은 변화를 만들어 가기 위한 주1회 캠페이너-굿네이버스가 다루고 있는 국내 및 국제이슈를 통한 나눔문화 캠페인 진행-굿네이버스 내 사업 및 행사 참여-거리시민들이 나눔에 동참할 수 있도록 적극적인 캠페이너 활동-SNS를 통한 굿네이버스 홍보활동  [접수 및 문의방법]-접수 : VMS 접수 / 문의 : 굿네이버스 경기1본부 문유라 간사 T.031-778-7020*굿네이버스와 함께 세상을 위한 좋은변화를 이루어가는데 동참해주실 여러분들의 적극적인 참여 부탁드립니다*※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
♥(사)자원봉사능력개발원후원의밤 자원봉사자 모집♥,대구,중구,공통,"♥(사)자원봉사능력개발원후원의밤 자원봉사자를 모집합니다♥(사)자원봉사능력개발원은 지역에서 활동하고있는 비영리 민간사회단체로, 대구지역 쪽방주민의 권리옹호와 생계지원을 위해 활동하는쪽방상담소를 운영하는 법인입니다. 올해  23주년을 맞아 지역의 쪽방주민, 북한이탈주민을 위한성금마련을 위한 후원의밤을 준비하고 있으니 봉사자 여러분의 많은 도움 바랍니다.일시 : 2019년 5월 16일 (목)시간 : 12:00 ~24:00 *행사준비 및 정리까지 시간이 오래 걸리니봉사자분들은 활동이 가능한 시간을 담당자와 협의하셔서가능한 시간만큼 활동해주시면 됩니다활동내용 : 후원의밤 행사 안내, 홀정리(밤 늦게 까지 봉사하시는 분들 귀가비 지급해드립니다)장소 : 대구 중구 종로45-4, 몬스터즈 크래프트비어 자원봉사자 모집인원 : 20명★ 자원봉사활동확인서 발급가능★ 많은 참여 부탁드립니다^^ 대구쪽방상담소, 행복나눔의집 053)719-3497담당자 : 유경진 010-5196-0715※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
교육공동체가 함께하는 교권존중 공감토론 및 교권존중 & 학교폭력 캠페인  참가 도우미,경남,창원시,공통,"사단법인 경남좋은학교운동연합입니다. 본 연합회 행사의 일환으로 [교권존중 공감토론 및 범도민 캠페인] 행사 자원봉사자를 모집하오니, 시간 확인하셔서 5월 11일 오전9시50분~오후3시10분 까지 시간 가능하신 자원봉사자 여러분의 신청 기다립니다.(단, 여러단체 신청하셔서 연락없이 오시지 않는 분은 사양합니다!!) * 일시 : 5월 11일(토요일) 오전10시 ~ 12시(공감토론)/중식 제공/ 오후1시40분 ~ 오후 3시10분 * 장소 : 경남교원단체총연합회 2층 대회의실 앞 집결 - 공감토론 참석(이후 상남동 이동 후 중식)       - 캠페인 부스존 도우미(포스트잇 붙이기, 포토존 등)       - 거리 홍보 기념품 및 핀버튼 나눠주기       - 캠페인 참여 등(생수 및 간식 지급) * vms사이트 조회시 성명(필수)과 vms사이트 등록된 본인 아이디 또는 주민번호 앞 6자리(생년월일) 필요할 수 있습니다.* 행사 관련 봉사자 모집수 또는 성별 관련 본 회 사정에 따라 변경될 수 있습니다! < 궁금하신 사항은 아래의 연락처로 연락주시면 됩니다.> * 오전10시 ~ 오후5시 문의 : 055)299-9196 * 오후 5시 ~ 오후6시 이후 문의 : 010-6555-1358 * 오후 6시 이후엔 이름, 연락처 문자남겨주시면 확인후 연락드리겠습니다~감사합니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
