제목,지역,소분류,성별,내용
[목동종합사회복지관] 글쓰기 및 책 기획 관련 교육 봉사자를 찾습니다.,서울,양천구,공통,"안녕하세요 :)목동복지관 청소년봉사단에서는 '우리가 어르신(노인)과 대화하는 법'이라는 주제로책 쓰기를 기획하고 있습니다. 이와 관련하여 청소년 아이들에게 책 기획하기 혹은 글쓰기에 대해 교육해주실 수 있는 봉사자 분을 모집합니다.일시 : 5월 11일(토) 혹은 6월 8일(토) 중 1회, 오전 10시-12시 (협의 후 결정)장소 : 목동종합사회복지관 3층 세미나실 (서울시 양천구 목동중앙북로8길 104)자격요건 : 책을 펴낸 경험이 있거나, 글을 전문적으로 쓰고 계신 분노인인식개선 및 세대통합을 위한 사업에 많은 관심 부탁드립니다.감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
정신건강관련 문헌 검색 및 정리,서울,광진구,공통,제목: 정신건강관련 문헌 검색 및 정리일시: 2019.04.16- 완료시까지 9-17시 장소: 8층 연구과업무: 문헌 검색 및 정리자격요건: 문헌고찰 유경험자 문의: 02-2204-0353 이상욱 신청: vms신청  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[구로구치매안심센터]미술치료 및 원예치료 재능기부 봉사자 모집,서울,구로구,공통,"구로구치매안심센터에서 치매대상자 가족의 스트레스 이완을 위해 다음과 같이 재능기부 봉사자를 모집 합니다.*기간 : 2019년 5월~12월*일정 : 금요일 오전 10:00-11:30(월 1회/일정 조정 가능)*대상 : 치매대상자 가족*내용 : 미술심리상담(치료), 원예치료 프로그램 진행*장소 : 고척2동 주민센터(9월 경부터 구로3동에서 진행)*혜택 : 자원봉사 시간 인증*문의 : 조성애 사회복지사(02-2612-7041, 070-4707-8022)치매대상자가 아닌 그 가족들을 대상으로 하는 수업입니다.열정있는 선생님들의 참여를 기다립니다.^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[이대복지관]프랑스 자수 재능기부 선생님을 찾습니다.,서울,서대문구,공통,프랑수자수 재능기부 선생님을 찾습니다.지역주민들을 모집해서 함께 프랑스자수를 하면서 즐거운 시간을 보낼 예정입니다.내용 : 프랑스 자수 재능기부일정 : 주 1회 진행예정(매주 금요일)장소 : 서대문구 천연동 골목통(예정)신청방법 : 전화신청담당자 : 이화여자대학교 종합사회복지관 이소진 사회복지사(02-3277-3285) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[굿피플]번역 봉사자 모집,서울,영등포구,공통,-봉사단체: 국제개발구호NGO 굿피플-봉사내용: 아동편지 영한번역 및 간단한 한글문서 편집작업-봉사장소: 굿피플 사무실(서울시 영등포구 국회대로74길 10 굿피플빌딩 4층)-봉사시간: 평일 오전9시~오후6시 내에서 시간 조정 가능(1일 3~4시간)-담당: 굿피플 사업팀 최지혜(02-6011-9496) 많은 신청 바랍니다!^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
사진촬영 자원봉사자 모집,경기,수원시,공통,호매실장애인종합복지관에서는 “참좋은 4월”을맞이하여“인생사진관”을운영합니다~인생사진을찍어주실 사진촬영 재능기부자를  기다리고 있습니다~ * 활동일시 : 4월 26일(금)  10시 ~ 17시 (시간조율가능) * 활동장소 : 복지관 6층 배움터 * 활동내용 : 사진 촬영 * 활동대상 : 복지관장애당사자 * 모집인원 :  1명 * 문     의 : 조세현 사회복지사(031-893-2173) 궁금하신 사항은 언제든지 연락주세요~※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[생명의전화종합사회복지관] 생명사랑나눔바자회_페이스페인팅 봉사자,서울,성북구,공통,"사람을 섬기고 생명을 살리는 생명의전화종합사회복지관에서사각지대에 있는 저소득 주민을 위한 기금마련 바자회를 진행합니다.바자회 진행 시, 주민들이 더욱더 즐길 수 있도록 페이스페인팅을 진행하고자 합니다.페이스페인팅을 잘 그리고, 재능이 있는 분들의 많은 신청 부탁드립니다.- 일시 : 2019.5.9.~5.10 10:00~17:00 (2일 중 1일만 하는것도 가능)- 장소 : 생명의전화종합사회복지관 일대- 내용 : 페이스페인팅- 문의 : 생명의전화종합사회복지관 마을공동체팀 송수연 사회복지사(02-916-9193_내선 325)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[이대복지관] 청소년 자립지원프로그램,서울,서대문구,공통,"이화여자대학교종합사회복지관에서 청소년들의 복지증진을 위하여 청소년 자립지원프로그램을 진행하고 있습니다.아래와 같이 함께해주실 자원봉사자를 모집하고 있습니다.*모집분야 : 청소년 자립지원사업-중학생 청소년 진로체험활동, 보호자 자조모임 보조진행*모집대상 : 대학생, 대학원생, 직장인 / 사회복지학 또는 청소년학과, 교육학과 전공생이면 유리함*활동일시 : 2019년 4월 ~ 12월 (정기활동: 월 1회, 4주차 토요일 10:00-15:00)*활동장소 : 이대복지관 및 외부장소*활동혜택 : VMS 자원봉사실적입력*신청 및 문의 : VMS 신청 후, 전화연락 02-3277-3193 가족서비스팀 윤지현 사회복지사 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아동영어전문도서관에서 사서봉사자를 모집합니다. ,서울,노원구,공통,"안녕하세요. 북부종합사회복지관입니다.북부복지관 3층에는 아동영어전문도서관이 있습니다. 영어도서관에서 봉사활동을 하실 사서 봉사자를 모집합니다.관심있으신 자원봉사자님은 연락주시길 바랍니다. 담당자와 유선상으로 연락한 후 활동 확정됩니다. 감사합니다. ^^ 활동기간 : 2019년 04월 17일(수)~(주1회/매주 수요일) - 기간 조정 가능활동시간 : 15:00~18:00(시간조정 가능)활동내용 : 이용자응대, 도서대출/반납 서비스, 도서정리, 환경미화문의사항 : 지역자원관리팀 백지원사회복지사 (02-934-7711) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"영어,수학,과학,역사멘토선생님을 모십니다",대전,대덕구,공통,"초등 6학년 여학생 2명( 역사, 과학) 9:30~12:30  /초등 4학년 남학생 2명 (9:30~12:30) 학습지도 해 주실 멘토선생님을 모십니다 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
 이동치과 진료 지원 봉사활동 - 푸르메재단 넥슨어린이재활병원,서울,마포구,공통,"※※※※※※ 봉사신청 후 전화연락 필수 푸르메재단 넥슨어린이재활병원에서는 지역사회 장애인들의 치과치료 접근성을 높이기 위해 장애인 이동치과 차량을 운행하고 있습니다. 2019년 4월 이동치과 진료 지원 봉사자를 모집하오니, 많은 관심과 신청 부탁드립니다.○ 모집 인원- 만 19세 이상 30세 미만 대학생 및 성인, 3명 ○ 봉사 내용- 진료대상자 진료/치료 장소 동행안내, 치료 지원 등○ 봉사 일시- 2019년 4월 24일(수) 13:30~16:30(3시간)○ 주의 사항- 시간 엄수- 단정하고 편한 복장 착용- 큰 악세서리 착용 금지, 노출이 심한 복장(예. 민소매, 짧은 반바지, 슬리퍼) 금지 ○ 문의 : 사회사업팀 조미현 의료사회복지사 02-6070-9206   ※※※※※※ 봉사신청 후 전화연락 필수 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
굿네이버스 경기화성지부 유아인형극 봉사자 모집 ,경기,화성시,공통,"아동 성폭력 예방 인형극은 아동이 잠재적 성학대 위험상황을 인지하고 적절하게 대처할 수 있도록 도우며, 아동을 성학대 위험으로부터 보호하여 건강한 성인으로 성장, 발달 할 수 있도록 돕습니다.1. 활동지역- 경기도 화성시2. 모집대상- 대학교 재학 이상의 학력 소지자로 매주 화요일 오전시간대 활동 가능한 자 (아동학과, 사회복지학과, 유아 교육과등 관련학과 전공자 및 관련 업무 경험자 우대)- 강사활동이 6개월 이상 가능한자3. 봉사 활동 내용(역할을 순환해가며 진행 예정임.)- 사회자: 인형극의 전반, 퀴즈내기 등 진행- 인형조작: 무대 뒤 맡은 역할에 따라 인형극 조작- 음향: 배경음악 조절4. 강사 대상 제공사항- 강사 활동비 또는 봉사시간 중 택1 지급 **자세한 문의는 전화 및 이메일로 연락바랍니다.기관 주소: 경기도 화성시 봉담읍 동화리 416-4 송현빌딩 4층 굿네이버스 경기화성지부연락처: 031-227-1310 / jyoh@gni.kr담당자: 오지연 간사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
학습자원봉사자 모집,서울,강서구,공통,"내용 : 검정고시 학습지도과목 : 국어, 영어, 수학, 과학, 사회, 한국사시간 : 주1~2회,  2시간 정도       ( 평일 오전이나 저녁시간에 가능합니다. )※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
